

=== Predictions on test data ===

    inst#     actual  predicted error prediction
        1        1:?   1:lncRNA       0.904 
        2        1:?   1:lncRNA       0.879 
        3        1:?   1:lncRNA       0.904 
        4        1:?   1:lncRNA       0.834 
        5        1:?   1:lncRNA       0.834 
        6        1:?   1:lncRNA       0.904 
        7        1:?   1:lncRNA       0.834 
        8        1:?   1:lncRNA       0.879 
        9        1:?   1:lncRNA       0.834 
       10        1:?   1:lncRNA       0.904 
       11        1:?   1:lncRNA       0.904 
       12        1:?   1:lncRNA       0.834 
       13        1:?   1:lncRNA       0.904 
       14        1:?   1:lncRNA       0.904 
       15        1:?   1:lncRNA       0.834 
       16        1:?   1:lncRNA       0.834 
       17        1:?   1:lncRNA       0.879 
       18        1:?   1:lncRNA       0.834 
       19        1:?   1:lncRNA       0.879 
       20        1:?   1:lncRNA       0.834 
       21        1:?   1:lncRNA       0.879 
       22        1:?   1:lncRNA       0.834 
       23        1:?   1:lncRNA       0.834 
       24        1:?   1:lncRNA       0.879 
       25        1:?   1:lncRNA       0.879 
       26        1:?   1:lncRNA       0.904 
       27        1:?   1:lncRNA       0.879 
       28        1:?   1:lncRNA       0.879 
       29        1:?   1:lncRNA       0.879 
       30        1:?   1:lncRNA       0.879 
       31        1:?   1:lncRNA       0.904 
       32        1:?   1:lncRNA       0.834 
       33        1:?   1:lncRNA       0.834 
       34        1:?   1:lncRNA       0.879 
       35        1:?   1:lncRNA       0.879 
       36        1:?   1:lncRNA       0.879 
       37        1:?   1:lncRNA       0.904 
       38        1:?   1:lncRNA       0.834 
       39        1:?   1:lncRNA       0.834 
       40        1:?   1:lncRNA       0.879 
       41        1:?   1:lncRNA       0.834 
       42        1:?   1:lncRNA       0.879 
       43        1:?   1:lncRNA       0.904 
       44        1:?   1:lncRNA       0.904 
       45        1:?   1:lncRNA       0.834 
       46        1:?   1:lncRNA       0.834 
       47        1:?   1:lncRNA       0.879 
       48        1:?   1:lncRNA       0.879 
       49        1:?   1:lncRNA       0.886 
       50        1:?   1:lncRNA       0.834 
       51        1:?   1:lncRNA       0.904 
       52        1:?   1:lncRNA       0.904 
       53        1:?   1:lncRNA       0.904 
       54        1:?   1:lncRNA       0.879 
       55        1:?   1:lncRNA       0.904 
       56        1:?   1:lncRNA       0.834 
       57        1:?   1:lncRNA       0.879 
       58        1:?   1:lncRNA       0.904 
       59        1:?   1:lncRNA       0.879 
       60        1:?   1:lncRNA       0.879 
       61        1:?   1:lncRNA       0.879 
       62        1:?   1:lncRNA       0.904 
       63        1:?   1:lncRNA       0.879 
       64        1:?   1:lncRNA       0.879 
       65        1:?   1:lncRNA       0.834 
       66        1:?   1:lncRNA       0.904 
       67        1:?   1:lncRNA       0.834 
       68        1:?   1:lncRNA       0.879 
       69        1:?   1:lncRNA       0.879 
       70        1:?   1:lncRNA       0.904 
       71        1:?   1:lncRNA       0.879 
       72        1:?   1:lncRNA       0.879 
       73        1:?   1:lncRNA       0.834 
       74        1:?   1:lncRNA       0.834 
       75        1:?   1:lncRNA       0.904 
       76        1:?   1:lncRNA       0.879 
       77        1:?   1:lncRNA       0.834 
       78        1:?   1:lncRNA       0.834 
       79        1:?   1:lncRNA       0.904 
       80        1:?   1:lncRNA       0.834 
       81        1:?   1:lncRNA       0.879 
       82        1:?   1:lncRNA       0.879 
       83        1:?   1:lncRNA       0.904 
       84        1:?   1:lncRNA       0.879 
       85        1:?   1:lncRNA       0.879 
       86        1:?   1:lncRNA       0.834 
       87        1:?   1:lncRNA       0.904 
       88        1:?   1:lncRNA       0.904 
       89        1:?   1:lncRNA       0.904 
       90        1:?   1:lncRNA       0.879 
       91        1:?   1:lncRNA       0.904 
       92        1:?   1:lncRNA       0.834 
       93        1:?   1:lncRNA       0.904 
       94        1:?   1:lncRNA       0.904 
       95        1:?   1:lncRNA       0.879 
       96        1:?   1:lncRNA       0.879 
       97        1:?   1:lncRNA       0.879 
       98        1:?   1:lncRNA       0.879 
       99        1:?   1:lncRNA       0.879 
      100        1:?   1:lncRNA       0.904 
      101        1:?   1:lncRNA       0.879 
      102        1:?   1:lncRNA       0.904 
      103        1:?   1:lncRNA       0.904 
      104        1:?   1:lncRNA       0.834 
      105        1:?   1:lncRNA       0.879 
      106        1:?   1:lncRNA       0.904 
      107        1:?   1:lncRNA       0.904 
      108        1:?   1:lncRNA       0.904 
      109        1:?   1:lncRNA       0.904 
      110        1:?   1:lncRNA       0.879 
      111        1:?   1:lncRNA       0.834 
      112        1:?   1:lncRNA       0.879 
      113        1:?   1:lncRNA       0.879 
      114        1:?   1:lncRNA       0.879 
      115        1:?   1:lncRNA       0.879 
      116        1:?   1:lncRNA       0.834 
      117        1:?   1:lncRNA       0.879 
      118        1:?   1:lncRNA       0.879 
      119        1:?   1:lncRNA       0.879 
      120        1:?   1:lncRNA       0.904 
      121        1:?   1:lncRNA       0.904 
      122        1:?   1:lncRNA       0.904 
      123        1:?   1:lncRNA       0.834 
      124        1:?   1:lncRNA       0.879 
      125        1:?   1:lncRNA       0.834 
      126        1:?   1:lncRNA       0.879 
      127        1:?   1:lncRNA       0.879 
      128        1:?   1:lncRNA       0.879 
      129        1:?   1:lncRNA       0.879 
      130        1:?   1:lncRNA       0.879 
      131        1:?   1:lncRNA       0.904 
      132        1:?   1:lncRNA       0.879 
      133        1:?   1:lncRNA       0.879 
